({'bird_x': 50, 'bird_y': 277, 'pipe_x': 790, 'pipe_height': 157, 'bird_velocity': 2.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 280, 'pipe_x': 780, 'pipe_height': 157, 'bird_velocity': 3.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 283, 'pipe_x': 770, 'pipe_height': 157, 'bird_velocity': 3.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 287, 'pipe_x': 760, 'pipe_height': 157, 'bird_velocity': 4.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 291, 'pipe_x': 750, 'pipe_height': 157, 'bird_velocity': 4.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 296, 'pipe_x': 740, 'pipe_height': 157, 'bird_velocity': 5.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 301, 'pipe_x': 730, 'pipe_height': 157, 'bird_velocity': 5.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 307, 'pipe_x': 720, 'pipe_height': 157, 'bird_velocity': 6.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 313, 'pipe_x': 710, 'pipe_height': 157, 'bird_velocity': 6.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 320, 'pipe_x': 700, 'pipe_height': 157, 'bird_velocity': 7.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 327, 'pipe_x': 690, 'pipe_height': 157, 'bird_velocity': 7.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 335, 'pipe_x': 680, 'pipe_height': 157, 'bird_velocity': 8.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 343, 'pipe_x': 670, 'pipe_height': 157, 'bird_velocity': 8.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 352, 'pipe_x': 660, 'pipe_height': 157, 'bird_velocity': 9.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 0)
({'bird_x': 50, 'bird_y': 342, 'pipe_x': 650, 'pipe_height': 157, 'bird_velocity': -9.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
({'bird_x': 50, 'bird_y': 333, 'pipe_x': 640, 'pipe_height': 157, 'bird_velocity': -9.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
({'bird_x': 50, 'bird_y': 324, 'pipe_x': 630, 'pipe_height': 157, 'bird_velocity': -8.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
({'bird_x': 50, 'bird_y': 316, 'pipe_x': 620, 'pipe_height': 157, 'bird_velocity': -8.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
({'bird_x': 50, 'bird_y': 308, 'pipe_x': 610, 'pipe_height': 157, 'bird_velocity': -7.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
({'bird_x': 50, 'bird_y': 301, 'pipe_x': 600, 'pipe_height': 157, 'bird_velocity': -7.0, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
({'bird_x': 50, 'bird_y': 294, 'pipe_x': 590, 'pipe_height': 157, 'bird_velocity': -6.5, 'pipe_speed': 10, 'bird_flap': 0, 'score': 0, 'game_over': 0}, 1)
